fazenda;fb.total;gmd;iep;mortalidade;mort_inicial;vazio;ef_microb;classificacao;densidade;caaj
1000;5700;72;380;7,4;1,1;16;50;3;14;1,72
1001;5590;70;370;6,2;0,9;17;40;4;14;1,771
1002;5540;70;370;6,7;0,9;17;30;4;14;1,804
1003;5840;70;370;8,3;0,8;18;50;2;14;1,741
1004;5900;71;380;7,4;0,9;18;50;2;14;1,757
1005;5670;73;400;5,1;0,6;15;70;4;13;1,695
1006;5860;68;360;5;1;16;70;4;14;1,784
1007;6070;72;380;6,8;0,7;17;90;3;14;1,725
1008;5370;69;370;6,7;0,8;17;10;3;14;1,764
1009;5820;67;350;7,3;0,7;17;20;3;13;1,82
101;6250;70;360;6,8;0,9;16;60;3;13;1,792
1010;5570;72;390;6,8;0,8;17;30;2;14;1,717
1011;5450;71;400;5,1;0,8;16;40;4;14;1,694
1012;5370;70;350;10,7;1,5;17;90;4;13;1,798
1013;5560;71;350;9,8;1,5;17;70;4;14;1,779
1014;6010;70;370;6,2;0,6;17;50;3;12;1,759
1015;5660;71;400;5,7;0,6;17;60;2;12;1,7
1016;5300;70;380;5,6;0,8;16;20;3;14;1,74
1017;5470;70;380;6,8;1,6;16;50;3;14;1,712
1018;5810;75;410;5,6;0,8;17;10;3;13;1,698
1019;5710;70;370;7,1;0,8;17;60;4;14;1,751
102;5790;72;370;8,3;0,8;16;70;3;14;1,768
1020;5490;69;370;5,4;0,7;16;70;3;14;1,771
1021;5400;71;360;7,4;0,8;17;70;3;14;1,801
1022;5850;68;350;6,6;1,1;16;60;4;14;1,798
1023;5260;70;360;7;0,6;17;80;4;13;1,782
1024;5910;76;430;4,6;0,8;16;10;2;9;1,624
1025;5750;72;400;4,3;0,7;17;40;4;14;1,698
1026;5520;72;390;5,6;1,2;18;30;5;14;1,725
1027;4950;72;380;8,8;0,9;18;50;3;14;1,745
1028;5170;69;380;7,6;0,9;17;60;2;14;1,762
1029;5330;71;370;6,3;0,9;18;60;3;14;1,772
103;6240;74;400;6,5;1,3;15;40;3;13;1,651
1030;5380;71;380;8,8;1;18;70;2;13;1,75
1031;5610;75;400;6,8;2,2;16;20;5;13;1,711
1032;5920;74;420;6,3;1,7;18;70;3;13;1,642
1033;5950;73;410;6,9;1,2;19;50;3;13;1,655
1034;5640;72;380;6,8;0,8;19;80;4;14;1,711
1035;5980;72;390;6,8;0,6;16;10;3;14;1,692
1036;5760;71;390;3,8;0,7;16;20;4;13;1,742
1037;5630;71;380;5,2;0,8;17;30;4;13;1,761
1038;5930;71;390;6;0,7;17;80;4;14;1,709
1039;5680;68;360;7;0,9;16;60;4;14;1,775
104;5530;69;380;6,3;0,9;17;30;3;13;1,742
1040;6200;72;380;7,3;0,8;17;60;4;14;1,739
